calendar_days,ema_count_total,recency_n_valid_days,recency_mean,baseline28_n_valid_days,baseline28_ema_count,baseline56_n_valid_days,baseline56_ema_count,historical_gate_met,state,baseline_mean,baseline_sd,deviation_z,deviation_pct,meaningful_change,uid,report_date,reason
1290,310,5.0,2946.130313632,0.0,0.0,0.0,0.0,False,B,,,,,,f40ed30e72159a5c839a43fe97e0c905,2021-05-26,partial history: below 28-day comparative gate
1292,278,7.0,17533.376912618573,28.0,0.0,56.0,6.0,False,B,,,,,,600713d94c8ebe9f12f7d12c6479a131,2021-05-28,partial history: below 28-day comparative gate
1317,190,1.0,64592.688771,28.0,2.0,56.0,5.0,False,B,,,,,,1df93e607e693903c6fce6054a0a67c5,2021-06-15,partial history: below 28-day comparative gate
1316,146,7.0,44115.92461241429,28.0,2.0,56.0,3.0,False,B,,,,,,c2d80f95e15e8973a9a943564baea1b7,2021-06-15,partial history: below 28-day comparative gate
1317,191,6.0,7709.650879631667,28.0,5.0,55.0,10.0,True,C,2944.4403367760715,858.7898033297558,5.548750723843727,161.83756496397962,True,e535002d3f0d00b98ff8a34754d6472b,2021-06-15,
1314,438,7.0,59142.76337300001,27.0,11.0,55.0,21.0,True,C,34038.00119787815,15573.40391444066,1.6120279364129966,73.75510103891422,True,862f10a8c357e957a59d122077b3a5ad,2021-06-14,
1316,252,7.0,29892.513122164288,26.0,4.0,54.0,7.0,False,C,34518.559017553074,35706.52716138605,-0.12955743005977657,-13.401619381146212,False,d1075cae00d6198eb840ad42a2df742c,2021-06-15,
1315,171,0.0,,0.0,1.0,0.0,7.0,False,B,,,,,,7a5f7cc91bafe10c9708342bb197ea58,2021-06-15,partial history: below 28-day comparative gate
1330,140,0.0,,0.0,1.0,0.0,2.0,False,B,,,,,,2d5d41b5e9a9a5bb7007264230e4c575,2021-06-15,partial history: below 28-day comparative gate
1317,200,0.0,,0.0,1.0,0.0,3.0,False,B,,,,,,84120765740b5395aa49a2feb12fbb43,2021-06-15,partial history: below 28-day comparative gate
1277,169,7.0,10091.809146701427,3.0,3.0,12.0,4.0,False,B,,,,,,63e8142ef2fdd89aec0630ce6070831d,2021-06-15,partial history: below 28-day comparative gate
760,85,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,0aee9faa6f2d2d24d85d2690f5b2df25,2019-12-26,partial history: below 28-day comparative gate
775,57,6.0,24293.76477860482,16.0,0.0,43.0,0.0,False,B,,,,,,1893420fc2b045e14ef0112c1b079afe,2019-12-27,partial history: below 28-day comparative gate
304,74,3.0,8395.690904879999,23.0,6.0,39.0,11.0,False,C,13162.305537158609,28993.439974668137,,,,56b90ef8a34e80ebc086ecd8d594e9d8,2018-09-09,insufficient recent data (<4 days) for deviation statement
1315,204,0.0,,0.0,6.0,0.0,11.0,False,B,,,,,,b1fed5ab5fbd8a1b2fd93b925849a11c,2021-06-15,partial history: below 28-day comparative gate
867,30,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,24e89780f6c9efef9ab28fea842cf620,2020-03-27,partial history: below 28-day comparative gate
1311,187,0.0,,0.0,4.0,0.0,9.0,False,B,,,,,,d1cd5ab675681cd980ee4dd212d8c53c,2021-06-15,partial history: below 28-day comparative gate
310,79,4.0,15757.13418203,27.0,5.0,54.0,11.0,True,C,10218.522245388498,20762.99671823889,0.2667539764034257,54.20169182624243,False,98e5152e1020930fb007145c1c60648b,2019-07-22,
1078,134,4.0,8510.3457228305,26.0,3.0,46.0,7.0,False,C,18707.828245035347,61347.93672762811,-0.16622372431984986,-54.509173318453136,False,546901e10be0157c4fed40c04bfeaaa5,2021-09-03,
1365,173,7.0,90157.61730497857,28.0,6.0,55.0,12.0,True,C,14138.265618951073,14862.35102181493,5.114894108909582,537.685128677526,True,7dcfc929e033d32b768ff4b51bd6a748,2022-06-15,
1192,263,5.0,26989.965601965996,17.0,5.0,43.0,8.0,True,B,,,,,,83e4705b8ead02d2659f4d4241183e17,2021-12-29,partial history: below 28-day comparative gate
1366,185,7.0,46616.908201051425,28.0,1.0,56.0,3.0,False,B,,,,,,e946e1f85b5de2dba4edcf1aebbfdc0a,2022-06-15,partial history: below 28-day comparative gate
1365,145,0.0,,0.0,0.0,21.0,0.0,False,B,,,,,,480fca3c0b19afab1093cf2f01d63317,2022-06-13,partial history: below 28-day comparative gate
1362,157,6.0,165070.60044255,26.0,4.0,53.0,7.0,False,C,73042.05679222384,123955.217651599,0.7424338030609638,125.99391048380724,False,968356427b2638af0930896c8d4a48d5,2022-06-15,
1291,186,0.0,,0.0,3.0,0.0,7.0,False,B,,,,,,0947cdc8e87a0a45a012aa387ccedbcd,2022-03-26,partial history: below 28-day comparative gate
1369,239,6.0,57859.409323424996,28.0,6.0,55.0,10.0,True,C,16532.845904168567,30380.31033321755,1.360307480930185,249.966422349805,True,6ed487d275984c8c141d40ad10664f46,2022-06-15,
1333,200,0.0,,0.0,0.0,0.0,4.0,False,B,,,,,,23d00aa2ae3eb2c224734960f2391885,2022-06-15,partial history: below 28-day comparative gate
1360,154,7.0,5336.966335957143,26.0,2.0,54.0,4.0,False,B,,,,,,8617ddac1f48b148e3683738519b2e7a,2022-06-15,partial history: below 28-day comparative gate
2,1,,,,,,,,A,,,,,,ad15fc229da933fbf1fc0f92fc9b55a3,2018-09-24,below no-data threshold
1362,204,7.0,58633.24521279143,28.0,6.0,55.0,10.0,True,C,12102.069387396074,21612.88296799597,2.152937018827984,384.4894152883979,True,eb5b94ef4672c2971d18f0d95d51f892,2022-06-15,
941,159,6.0,53789.80356794666,25.0,5.0,52.0,10.0,True,C,60505.2790053132,67372.97527437468,-0.09967610024669293,-11.09899094387586,False,4005a296ac7cd078b8bd56f0b905b7a6,2021-07-08,
294,41,0.0,,0.0,5.0,0.0,15.0,False,B,,,,,,1e85c892d8f047ff621ad9134c4e6d8d,2019-07-15,partial history: below 28-day comparative gate
184,10,7.0,5099.265650652858,28.0,0.0,56.0,0.0,False,B,,,,,,fbcc8cd8254960ed44ffdd3390a2f6a0,2019-05-30,partial history: below 28-day comparative gate
1355,170,0.0,,0.0,3.0,0.0,7.0,False,B,,,,,,f663e0d08f34a40d5930a3298bc8e98e,2022-06-15,partial history: below 28-day comparative gate
571,94,0.0,,0.0,5.0,0.0,11.0,False,B,,,,,,8ee53a46a77476104276e6a1af54472c,2020-04-25,partial history: below 28-day comparative gate
1145,380,6.0,5166.368472204999,28.0,10.0,56.0,18.0,True,C,4132.199587869215,5023.007107197307,0.20588640674108474,25.02707970282378,False,1d2263527eed2a54e88d340fb8e55308,2021-11-14,
1355,140,6.0,66949.19526121001,26.0,1.0,52.0,4.0,False,B,,,,,,61f9310e79c30ff4ff836fa065aee93a,2022-06-15,partial history: below 28-day comparative gate
1259,441,6.0,23702.05232381,27.0,9.0,55.0,18.0,True,C,4712.1837192583025,14926.342299472366,1.2722385848824445,402.99508117524545,True,aeeb186fafcc356f44cae870555f4a0d,2022-03-27,
688,66,0.0,,0.0,5.0,0.0,10.0,False,B,,,,,,b4d5a392109a5d0a0e6da33189e63511,2020-08-18,partial history: below 28-day comparative gate
1362,186,7.0,75030.24470557143,28.0,1.0,56.0,2.0,False,B,,,,,,8c8ee0b0491acee56e6346c2af5c6cf4,2022-06-15,partial history: below 28-day comparative gate
1216,197,7.0,52959.02379571429,19.0,3.0,47.0,7.0,False,B,,,,,,8730e74690f38a87355bf45b00fc220e,2022-02-13,partial history: below 28-day comparative gate
1360,173,0.0,,0.0,1.0,0.0,6.0,False,B,,,,,,64f2d26b3835e5fa744c35f1709e9c39,2022-06-15,partial history: below 28-day comparative gate
531,41,0.0,,0.0,3.0,0.0,3.0,False,B,,,,,,f1dcebbb6fbe6d586ddb2c43c781e013,2020-03-27,partial history: below 28-day comparative gate
1264,137,0.0,,0.0,0.0,0.0,1.0,False,B,,,,,,8e12cde03a0eaf1a9c41596a81a1cf59,2022-04-01,partial history: below 28-day comparative gate
1358,175,6.0,55967.37303486,26.0,0.0,54.0,1.0,False,B,,,,,,83a37a7ffd416a2e0a863c86166a97c8,2022-06-15,partial history: below 28-day comparative gate
1339,191,7.0,3442.179758048572,28.0,4.0,56.0,8.0,True,C,4360.341089970714,1480.73601509511,-0.6200709124125461,-21.057098813531333,False,20b8c420e5a7abcb07f11aab23e42923,2022-06-06,
1340,180,0.0,,0.0,4.0,0.0,8.0,False,B,,,,,,d060bfe5da35b9cbd05e3dc33e167092,2022-06-15,partial history: below 28-day comparative gate
1358,214,6.0,58833.668714455,28.0,4.0,56.0,8.0,True,C,16268.06363461786,20706.430389437584,2.0556708365122165,261.65133131923,True,dfba04a156c13a94753a56bbbdd58969,2022-06-15,
1132,309,6.0,2295.60181221,28.0,2.0,56.0,5.0,False,B,,,,,,fc26652471ae91bdbbc11a8be89c362c,2021-11-28,partial history: below 28-day comparative gate
1352,246,7.0,85361.23710760857,28.0,5.0,56.0,10.0,True,C,41243.55613535501,62686.45591347218,0.7037833026188368,106.9686639713271,False,fc73375dda5e5460f7088c78654a945e,2022-06-15,
721,23,1.0,0.0,0.0,0.0,1.0,1.0,False,B,,,,,,9ffbe25e279de21de86acd54b6fa60d0,2020-10-06,partial history: below 28-day comparative gate
1159,122,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,c75fc80fba7cbe2b7d9cbc71be5b91a6,2021-12-18,partial history: below 28-day comparative gate
1139,52,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,dd2ab53554046244203dfb4a72ad4e18,2021-11-06,partial history: below 28-day comparative gate
816,98,6.0,9748.72239973,28.0,2.0,33.0,3.0,False,B,,,,,,8ee7d10d8b836222ee69ff04247971a4,2021-01-09,partial history: below 28-day comparative gate
1246,70,7.0,37066.607438658575,24.0,0.0,47.0,1.0,False,B,,,,,,69d24b22972459bf83ab0c8eb24d13cc,2022-03-05,partial history: below 28-day comparative gate
1319,248,5.0,35676.145448092,28.0,0.0,54.0,1.0,False,B,,,,,,920e275acd8721dad396513f4d7c99ea,2022-06-15,partial history: below 28-day comparative gate
1338,323,6.0,65045.52374573342,28.0,5.0,56.0,8.0,True,C,44061.56023443782,79799.64793578238,0.2629580963587978,47.6241953295491,False,6b22ac2851e90cebdb6bcc50288e031c,2022-06-15,
1257,113,0.0,,0.0,1.0,0.0,1.0,False,B,,,,,,4e37495c9c7c8a17e8737e2c61cfe228,2022-03-13,partial history: below 28-day comparative gate
